complex_area,sch_code,sch_name,url,ProbableSuffix
Pearl City-Waipahu,268,Lehua Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/268SSIR-3.pdf,3
Campbell-Kapolei,269,Pohakea Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/269SSIR-3.pdf,3
Nanakuli-Waianae,270,Waianae Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/270SSIR-3.pdf,3
Nanakuli-Waianae,271,Leihoku Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/271SSIR-3.pdf,3
Nanakuli-Waianae,272,Waianae High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/272SSIR-3.pdf,3
Nanakuli-Waianae,273,Waianae Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/273SSIR-3.pdf,3
Pearl City-Waipahu,274,Waipahu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/274SSIR-3.pdf,3
Pearl City-Waipahu,276,Honowai Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/276SSIR-3.pdf,3
Pearl City-Waipahu,277,Waipahu High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/277SSIR-3.pdf,3
Pearl City-Waipahu,278,Waipahu Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/278SSIR-3.pdf,3
Campbell-Kapolei,279,Ilima Inter School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/279SSIR-3.pdf,3
Campbell-Kapolei,280,Holomua Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/280SSIR-3.pdf,3
Campbell-Kapolei,281,Kaimiloa Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/281SSIR-3.pdf,3
