complex_area,sch_code,sch_name,Enrollment,Staff,ProbableSuffix,URL,
Baldwin-Kekaulike-Maui,426,Pukalani Elem School,429,,6,,
Baldwin-Kekaulike-Maui,428,Maui Waena Inter School,1140,,6,,
Hana-Lahainaluna-Lanai-Molokai,429,Nahienaena Elem School,656,,6,,
Baldwin-Kekaulike-Maui,430,Lokelani Inter School,454,,6,,
Baldwin-Kekaulike-Maui,431,Kamalii Elem School,403,,6,,
Baldwin-Kekaulike-Maui,433,Pomaikai Elem School,539,,6,,
Hana-Lahainaluna-Lanai-Molokai,434,Molokai Middle School,174,,6,,
Baldwin-Kekaulike-Maui,435,Kekaulike High School,1167,,6,,
Baldwin-Kekaulike-Maui,436,Puu Kukui Elem School,685,,6,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/436SSIR-6.pdf,
Kapaa-Kauai-Waimea,447,Kapaa Middle School,597,,7,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/447SSIR-7.pdf,
Kapaa-Kauai-Waimea,448,Kamakahelei Middle School,829,,7,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/448SSIR-7.pdf,
Kapaa-Kauai-Waimea,451,Eleele Elem School,425,,7,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/451SSIR-7.pdf,
Kapaa-Kauai-Waimea,452,Hanalei Elem School,218,,7,,
Kapaa-Kauai-Waimea,453,Kalaheo Elem School,392,,7,,
Kapaa-Kauai-Waimea,454,Kapaa Elem School,855,,7,,
Kapaa-Kauai-Waimea,455,Kapaa High School,1011,,7,,
Kapaa-Kauai-Waimea,456,Kauai High School,1120,,7,,
Kapaa-Kauai-Waimea,457,Kaumualii Elem School,534,,7,,
Kapaa-Kauai-Waimea,458,Kekaha Elem School,324,,7,,
Kapaa-Kauai-Waimea,459,Kilauea Elem School,271,,7,,
Kapaa-Kauai-Waimea,460,Koloa Elem School,345,,7,,
Kapaa-Kauai-Waimea,461,Niihau High & Elem School,14,,7,,
Kapaa-Kauai-Waimea,462,Waimea High School,758,,7,,
Kapaa-Kauai-Waimea,463,Wilcox Elem School,746,,7,,
Kapaa-Kauai-Waimea,464,Waimea Canyon School,485,,7,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/464SSIR-7.pdf,
Kapaa-Kauai-Waimea,466,Kula Aupuni Niihau - PCS,45,,C,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/466SSIR-C.pdf,
Farrington-Kaiser-Kalani,470,HI School for the Deaf & Blind,46,,1,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/470SSIR-1.pdf,
Kailua-Kalaheo,475,Olomana School,68,,4,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/475SSIR-4.pdf,
Kaimuki-McKinley-Roosevelt,540,Halau Ku Mana - PCS,120,,,,
Kaimuki-McKinley-Roosevelt,541,Voyager - PCS,284,,,,
Kaimuki-McKinley-Roosevelt,543,University Laboratory School,449,,,,
Kaimuki-McKinley-Roosevelt,544,Myron B. Thompson Academy,542,,,,
Nanakuli-Waianae,545,Ka Waihona O Ka Naauao - PCS,632,,,,
Castle-Kahuku,546,Hakipuu Learning Center - PCS,61,,,,
Castle-Kahuku,547,Ke Kula 'o Samuel M. Kamakau,125,,,,
Honokaa-Kealakehe-Kohala-Konawaena,548,Innovations - PCS,241,,,,
Hilo-Waiakea,549,Ke Ana Laahana-PCS,41,,,,
Kailua-Kalaheo,550,Malama Honua - PCS,173,,,,
Pearl City-Waipahu,551,Hawaii Technology Academy-PCS,1363,,,,
Leilehua-Mililani-Waialua,553,Kamalani Academy PCS,166,,,,
Baldwin-Kekaulike-Maui,554,Kihei Charter School,723,,,,
Campbell-Kapolei,555,Kapolei Charter School PCS,161,,,,
Kapaa-Kauai-Waimea,556,Ke Kula Niihau O Kekaha-LPCS,55,,,,
Kau-Keaau-Pahoa,557,Kua O Ka La - NCPCS,148,,,,
Kapaa-Kauai-Waimea,558,Alaka'i O Kaua'i,172,,,,
Kau-Keaau-Pahoa,560,Volcano School of Arts & Sci,266,,,,
Kau-Keaau-Pahoa,561,HI Academy of Arts & Sci - PCS,706,,,,
Hilo-Waiakea,562,Ka Umeke Kaeo - PCS,240,,,,
Kau-Keaau-Pahoa,563,Ke Kula O Nawahiokalani Iki,464,,,,
Kapaa-Kauai-Waimea,564,Kanuikapono - PCS,226,,,,
Kapaa-Kauai-Waimea,565,Kawaikini NCPCS,155,,,,
Honokaa-Kealakehe-Kohala-Konawaena,566,Kona Pacific PCS,210,,,,
Farrington-Kaiser-Kalani,567,SEEQS - PCS,182,,,,
Campbell-Kapolei,568,DreamHouse 'Ewa Beach,287,,,,
